year,rank,name,first_clean,middle,last,firstlast,gender_guess
1965,AMBASSADOR, Maurice M. Bernbaum,Maurice,M.,Bernbaum,Maurice Bernbaum,male
1965,DEPUTY CHIEF OF MISSION, Samuel O. Lane,Samuel,O.,Lane,Samuel Lane,male
1965,POLITICAL SECTION, Earl H. Lubensky,Earl,H.,Lubensky,Earl Lubensky,male
1965,ECONOMIC SECTION, Thomas K. Shields,Thomas,K.,Shields,Thomas Shields,male
1965,COMMERCIAL SECTION," Madison M. Adams, Jr.",Madison,M.,Adams,Madison Adams,mostly_female
1965,AGRICULTURAL ATTACHE, Carlos J. Ortega,Carlos,J.,Ortega,Carlos Ortega,male
1965,AID MISSION DIRECTOR, Donald L. Daughters,Donald,L.,Daughters,Donald Daughters,male
1965,CONSULATE GENERAL, Guayaquil,Guayaquil,,,Guayaquil ,unknown
1965,CONSUL GENERAL, Alton W. Hemba,Alton,W.,Hemba,Alton Hemba,male
1965,COMMERCIAL SECTION," Howland Bancroft, Jr.",Howland,,Bancroft,Howland Bancroft,unknown
1965,AMBASSADOR, Raul H. Castro,Raul,H.,Castro,Raul Castro,male
1965,DEPUTY CHIEF OF MISSION, Leonard J. Saccio,Leonard,J.,Saccio,Leonard Saccio,male
1965,POLITICAL SECTION, Robert M. Phillips,Robert,M.,Phillips,Robert Phillips,male
1965,COMMERCIAL SECTION, Melville A. Shaw,Melville,A.,Shaw,Melville Shaw,unknown
1965,AGRICULTURAL ATTACHE, Alvin E. Gilbert,Alvin,E.,Gilbert,Alvin Gilbert,male
1965,AID MISSION DIRECTOR, Robert W. Herder,Robert,W.,Herder,Robert Herder,male
1965,AMBASSADOR, Edward M. Korry,Edward,M.,Korry,Edward Korry,male
1965,DEPUTY CHIEF OF MISSION, Sheldon B. Vance,Sheldon,B.,Vance,Sheldon Vance,male
1965,POLITICAL SECTION, Robert H. Wenzel,Robert,H.,Wenzel,Robert Wenzel,male
1965,ECONOMIC SECTION, Donald L. Woolf,Donald,L.,Woolf,Donald Woolf,male
1965,AID MISSION DIRECTOR, Willard H. Meinedce,Willard,H.,Meinedce,Willard Meinedce,male
1965,AMBASSADOR, Tyler Thompson,Tyler,,Thompson,Tyler Thompson,mostly_male
