text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
ECO:,ECO:,ECO: Richard D.,ECO, Richard D.,,Richard,,D.,,Richard,Richard D.
SCI:,SCI:,SCI: Dennis C. Jett,SCI, Dennis C. Jett,,Dennis,C.,Jett,,Dennis,Dennis Jett
COM:,COM:,COM: Jay R. Grahame,COM, Jay R. Grahame,,Jay,R.,Grahame,,Jay,Jay Grahame
PAO:,PAO:,PAO: Maury Lee,PAO, Maury Lee,,Maury,,Lee,,Maury,Maury Lee
POL.,POL.,POL. Paul J. Hare,POL, Paul J. Hare,,Paul,J.,Hare,,Paul,Paul Hare
ODA.,ODA.,ODA. Col Peter Hoag,ODA, Col Peter Hoag,Col,Peter,,Hoag,,Peter,Peter Hoag
LAB;,LAB;,LAB; James F. Shea,LAB, James F. Shea,,James,F.,Shea,,James,James Shea
CON:,CON:,CON: James F. Hughes,CON, James F. Hughes,,James,F.,Hughes,,James,James Hughes
USICA: Via Boncompagni,USICA: Via Boncompagni,USICA: Via Boncompagni,USICA, Via Boncompagni,,Via,,Boncompagni,,Via,Via Boncompagni
AMB:,AMB:,AMB: Maxwell M. Rabb,AMB, Maxwell M. Rabb,,Maxwell,M.,Rabb,,Maxwell,Maxwell Rabb
CON:,CON:,CON: Norbert J. Krieg,CON, Norbert J. Krieg,,Norbert,J.,Krieg,,Norbert,Norbert Krieg
DCM.,DCM.,DCM. Peter Bridges,DCM, Peter Bridges,,Peter,,Bridges,,Peter,Peter Bridges
ADM:,ADM:,ADM: Robert R.,ADM, Robert R.,,Robert,,R.,,Robert,Robert R.
ECO:,ECO:,ECO: John W. Holmes,ECO, John W. Holmes,,John,W.,Holmes,,John,John Holmes
FIN:,FIN:,FIN: Ciro DeFalco,FIN, Ciro DeFalco,,Ciro,,DeFalco,,Ciro,Ciro DeFalco
RSO:,RSO:,RSO: Arthur H. Brunetti,RSO, Arthur H. Brunetti,,Arthur,H.,Brunetti,,Arthur,Arthur Brunetti
COM:,COM:,COM: Alton Jenkens,COM, Alton Jenkens,,Alton,,Jenkens,,Alton,Alton Jenkens
POL:,POL:,POL: Robert H. Frowick,POL, Robert H. Frowick,,Robert,H.,Frowick,,Robert,Robert Frowick
AGR:,AGR:,AGR: James P. Rudbeck,AGR, James P. Rudbeck,,James,P.,Rudbeck,,James,James Rudbeck
PAO:,PAO:,PAO: Stanton H. Burnett,PAO, Stanton H. Burnett,,Stanton,H.,Burnett,,Stanton,Stanton Burnett
LAB;,LAB;,LAB; Anthony G. Freeman,LAB, Anthony G. Freeman,,Anthony,G.,Freeman,,Anthony,Anthony Freeman
ODA.,ODA.,ODA. Capt Ernest Till USN,ODA, Capt Ernest Till USN,Capt,Ernest,,Till,USN,Ernest,Ernest Till
US REP:,US REP:,US REP: Roger A. Sorenson,US REP, Roger A. Sorenson,,Roger,A.,Sorenson,,Roger,Roger Sorenson
AGR:,AGR:,AGR: Avram E. Guroff,AGR, Avram E. Guroff,,Avram,E.,Guroff,,Avram,Avram Guroff
DEP US REP:,DEP US REP:,DEP US REP: Michael D.,DEP US REP, Michael D.,,Michael,,D.,,Michael,Michael D.
AID:,AID:,AID: Eugene Moore,AID, Eugene Moore,,Eugene,,Moore,,Eugene,Eugene Moore
CG:,CG:,CG: Peter K. Murphy,CG, Peter K. Murphy,,Peter,K.,Murphy,,Peter,Peter Murphy
CON:,CON:,CON: Charles F. Keil,CON, Charles F. Keil,,Charles,F.,Keil,,Charles,Charles Keil
BPAO: William J. Barnes,BPAO: William J. Barnes,BPAO: William J. Barnes,BPAO, William J. Barnes,,William,J.,Barnes,,William,William Barnes
CG:,CG:,CG: Charles K. Johnson,CG, Charles K. Johnson,,Charles,K.,Johnson,,Charles,Charles Johnson
CON:,CON:,CON: Anthony C. Perkins,CON, Anthony C. Perkins,,Anthony,C.,Perkins,,Anthony,Anthony Perkins
ADM:,ADM:,ADM: Warrington E. Brown,ADM, Warrington E. Brown,,Warrington,E.,Brown,,Warrington,Warrington Brown
COM:,COM:,COM: Judith I. Hughes,COM, Judith I. Hughes,,Judith,I.,Hughes,,Judith,Judith Hughes
AGR:,AGR:,AGR: Harold Rabinowitz,AGR, Harold Rabinowitz,,Harold,,Rabinowitz,,Harold,Harold Rabinowitz
BPAO:,BPAO:,BPAO: Dino J. Caterini,BPAO, Dino J. Caterini,,Dino,J.,Caterini,,Dino,Dino Caterini
DIR:,DIR:,DIR: Robert D. Culver,DIR, Robert D. Culver,,Robert,D.,Culver,,Robert,Robert Culver
CG:,CG:,CG: Walter J. Silva,CG, Walter J. Silva,,Walter,J.,Silva,,Walter,Walter Silva
ADM:,ADM:,ADM: Vincent R. Ragone,ADM, Vincent R. Ragone,,Vincent,R.,Ragone,,Vincent,Vincent Ragone
BPAO: Joseph A. Bertot,BPAO: Joseph A. Bertot,BPAO: Joseph A. Bertot,BPAO, Joseph A. Bertot,,Joseph,A.,Bertot,,Joseph,Joseph Bertot
POLAD. H. Dufour Woolfley,POLAD. H. Dufour Woolfley,POLAD. H. Dufour Woolfley,POLAD, H. Dufour Woolfley,,H.,Dufour,Woolfley,,Dufour,Dufour Woolfley
CON: Joseph A. Basile,CON: Joseph A. Basile,CON: Joseph A. Basile,CON, Joseph A. Basile,,Joseph,A.,Basile,,Joseph,Joseph Basile
ADM:,ADM:,ADM: Joseph D.,ADM, Joseph D.,,Joseph,,D.,,Joseph,Joseph D.
CON:,CON:,CON: David Bloch,CON, David Bloch,,David,,Bloch,,David,David Bloch
BPAO:,BPAO:,BPAO: C. Miller Crouch,BPAO, C. Miller Crouch,,C.,Miller,Crouch,,Miller,Miller Crouch
CG:,CG:,CG: Donald A. Johnston,CG, Donald A. Johnston,,Donald,A.,Johnston,,Donald,Donald Johnston
ADM:,ADM:,ADM: Joan N. Anderson,ADM, Joan N. Anderson,,Joan,N.,Anderson,,Joan,Joan Anderson
BPAO: Thomas,BPAO: Thomas,BPAO: Thomas,BPAO, Thomas,,Thomas,,,,Thomas,Thomas 
PO:,PO:,PO: Frank R. Golino,PO, Frank R. Golino,,Frank,R.,Golino,,Frank,Frank Golino
BPAO:,BPAO:,BPAO: Sterlyn B. Steele,BPAO, Sterlyn B. Steele,,Sterlyn,B.,Steele,,Sterlyn,Sterlyn Steele
CON:,CON:,CON: John V. Spilsbury,CON, John V. Spilsbury,,John,V.,Spilsbury,,John,John Spilsbury
AMB:,AMB:,AMB: Nancy V. Rawls,AMB, Nancy V. Rawls,,Nancy,V.,Rawls,,Nancy,Nancy Rawls
RSO:,RSO:,RSO: Robert Boyke,RSO, Robert Boyke,,Robert,,Boyke,,Robert,Robert Boyke
DCM:,DCM:,DCM: Gerald A. Friedman,DCM, Gerald A. Friedman,,Gerald,A.,Friedman,,Gerald,Gerald Friedman
ECO:,ECO:,ECO: Bruce Duncombe,ECO, Bruce Duncombe,,Bruce,,Duncombe,,Bruce,Bruce Duncombe
AID:,AID:,AID: Gordon,AID, Gordon,,Gordon,,,,Gordon,Gordon 
COM:,COM:,COM: Frederic J. Gaynor,COM, Frederic J. Gaynor,,Frederic,J.,Gaynor,,Frederic,Frederic Gaynor
PAO:,PAO:,PAO: Terry B. Shroeder,PAO, Terry B. Shroeder,,Terry,B.,Shroeder,,Terry,Terry Shroeder
POL:,POL:,POL: Raymond,POL, Raymond,,Raymond,,,,Raymond,Raymond 
ODA:,ODA:,ODA: Ltc. Landy T. Nelson,ODA, Ltc. Landy T. Nelson,Ltc.,Landy,T.,Nelson,,Landy,Landy Nelson
CON:,CON:,CON: Cynthia Smith,CON, Cynthia Smith,,Cynthia,,Smith,,Cynthia,Cynthia Smith
ADM:,ADM:,ADM: Clyde C. Laursen,ADM, Clyde C. Laursen,,Clyde,C.,Laursen,,Clyde,Clyde Laursen
AMB:,AMB:,AMB: Loren E. Lawrence,AMB, Loren E. Lawrence,,Loren,E.,Lawrence,,Loren,Loren Lawrence
RSO:,RSO:,RSO: Wayne S. Rychak,RSO, Wayne S. Rychak,,Wayne,S.,Rychak,,Wayne,Wayne Rychak
DCM;,DCM;,DCM; W. Robert Warne,DCM, W. Robert Warne,,W.,Robert,Warne,,Robert,Robert Warne
POL:,POL:,POL: John D. Forbes,POL, John D. Forbes,,John,D.,Forbes,,John,John Forbes
CON:,CON:,CON: Frederick H. Hassett,CON, Frederick H. Hassett,,Frederick,H.,Hassett,,Frederick,Frederick Hassett
AID:,AID:,AID: Glenn O. Patterson,AID, Glenn O. Patterson,,Glenn,O.,Patterson,,Glenn,Glenn Patterson
PAO:,PAO:,PAO: John M. Keller,PAO, John M. Keller,,John,M.,Keller,,John,John Keller
ODA:,ODA:,ODA: Ltc. Hubert Mitchell,ODA, Ltc. Hubert Mitchell,Ltc.,Hubert,,Mitchell,,Hubert,Hubert Mitchell
ADM:,ADM:,"ADM: Louis Schwartz, Jr.",ADM," Louis Schwartz, Jr.",,Louis,,Schwartz,Jr.,Louis,Louis Schwartz
AMB:,AMB:,AMB: Michael J. Mansfield,AMB, Michael J. Mansfield,,Michael,J.,Mansfield,,Michael,Michael Mansfield
CON:,CON:,CON: Franklyn,CON, Franklyn,,Franklyn,,,,Franklyn,Franklyn 
