text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
COMMERCIAL SECTION: George L. Rueckert,COMMERCIAL SECTION: George L. Rueckert,COMMERCIAL SECTION: George L. Rueckert,COMMERCIAL SECTION, George L. Rueckert,,George,L.,Rueckert,,George,George Rueckert
"AMBASSADOR: William P. Mahoney, Jr.","AMBASSADOR: William P. Mahoney, Jr.","AMBASSADOR: William P. Mahoney, Jr.",AMBASSADOR," William P. Mahoney, Jr.",,William,P.,Mahoney,Jr.,William,William Mahoney
"DEPUTY CHIEF OF MISSION: Oliver L. Troxel, Jr.","DEPUTY CHIEF OF MISSION: Oliver L. Troxel, Jr.","DEPUTY CHIEF OF MISSION: Oliver L. Troxel, Jr.",DEPUTY CHIEF OF MISSION," Oliver L. Troxel, Jr.",,Oliver,L.,Troxel,Jr.,Oliver,Oliver Troxel
POLITICAL SECTION: Willard A. Depree,POLITICAL SECTION: Willard A. Depree,POLITICAL SECTION: Willard A. Depree,POLITICAL SECTION, Willard A. Depree,,Willard,A.,Depree,,Willard,Willard Depree
"ECONOMIC SECTION: John W. Foley, Jr.","ECONOMIC SECTION: John W. Foley, Jr.","ECONOMIC SECTION: John W. Foley, Jr.",ECONOMIC SECTION," John W. Foley, Jr.",,John,W.,Foley,Jr.,John,John Foley
COMMERCIAL SECTION: Evelyn 'Schwarztrauber,COMMERCIAL SECTION: Evelyn 'Schwarztrauber,COMMERCIAL SECTION: Evelyn 'Schwarztrauber,COMMERCIAL SECTION, Evelyn 'Schwarztrauber,,Evelyn,,'Schwarztrauber,,Evelyn,Evelyn 'Schwarztrauber
AID MISSION DIRECTOR: Frank E. Pinder,AID MISSION DIRECTOR: Frank E. Pinder,AID MISSION DIRECTOR: Frank E. Pinder,AID MISSION DIRECTOR, Frank E. Pinder,,Frank,E.,Pinder,,Frank,Frank Pinder
AMBASSADOR: David K. E. Bruce,AMBASSADOR: David K. E. Bruce,AMBASSADOR: David K. E. Bruce,AMBASSADOR, David K. E. Bruce,,David,K. E.,Bruce,,David,David Bruce
DEPUTY CHIEF OF MISSION: Philip M. Kaiser,DEPUTY CHIEF OF MISSION: Philip M. Kaiser,DEPUTY CHIEF OF MISSION: Philip M. Kaiser,DEPUTY CHIEF OF MISSION, Philip M. Kaiser,,Philip,M.,Kaiser,,Philip,Philip Kaiser
POLITICAL SECTION: William H. Brubeck,POLITICAL SECTION: William H. Brubeck,POLITICAL SECTION: William H. Brubeck,POLITICAL SECTION, William H. Brubeck,,William,H.,Brubeck,,William,William Brubeck
COMMERCIAL SECTION: Harold E. Hall,COMMERCIAL SECTION: Harold E. Hall,COMMERCIAL SECTION: Harold E. Hall,COMMERCIAL SECTION, Harold E. Hall,,Harold,E.,Hall,,Harold,Harold Hall
AGRICULTURAL ATTACHE: Robert N. Anderson,AGRICULTURAL ATTACHE: Robert N. Anderson,AGRICULTURAL ATTACHE: Robert N. Anderson,AGRICULTURAL ATTACHE, Robert N. Anderson,,Robert,N.,Anderson,,Robert,Robert Anderson
CONSUL GENERAL: Eric M. Hughes,CONSUL GENERAL: Eric M. Hughes,CONSUL GENERAL: Eric M. Hughes,CONSUL GENERAL, Eric M. Hughes,,Eric,M.,Hughes,,Eric,Eric Hughes
AMBASSADOR: Henry R. Labouisse,AMBASSADOR: Henry R. Labouisse,AMBASSADOR: Henry R. Labouisse,AMBASSADOR, Henry R. Labouisse,,Henry,R.,Labouisse,,Henry,Henry Labouisse
DEPUTY CHIEF OF MISSION: Norbert L. Anschuetz,DEPUTY CHIEF OF MISSION: Norbert L. Anschuetz,DEPUTY CHIEF OF MISSION: Norbert L. Anschuetz,DEPUTY CHIEF OF MISSION, Norbert L. Anschuetz,,Norbert,L.,Anschuetz,,Norbert,Norbert Anschuetz
POLITICAL SECTION: H. Daniel Brewster,POLITICAL SECTION: H. Daniel Brewster,POLITICAL SECTION: H. Daniel Brewster,POLITICAL SECTION, H. Daniel Brewster,,H.,Daniel,Brewster,,Daniel,Daniel Brewster
ECONOMIC SECTION: Robert E. McCoy,ECONOMIC SECTION: Robert E. McCoy,ECONOMIC SECTION: Robert E. McCoy,ECONOMIC SECTION, Robert E. McCoy,,Robert,E.,McCoy,,Robert,Robert McCoy
COMMERCIAL SECTION: Guy O. Long,COMMERCIAL SECTION: Guy O. Long,COMMERCIAL SECTION: Guy O. Long,COMMERCIAL SECTION, Guy O. Long,,Guy,O.,Long,,Guy,Guy Long
AGRICULTURAL ATTACHE: John D. Motz,AGRICULTURAL ATTACHE: John D. Motz,AGRICULTURAL ATTACHE: John D. Motz,AGRICULTURAL ATTACHE, John D. Motz,,John,D.,Motz,,John,John Motz
CONSULATE GENERAL: Thossaloniki,CONSULATE GENERAL: Thossaloniki,CONSULATE GENERAL: Thossaloniki,CONSULATE GENERAL, Thossaloniki,,Thossaloniki,,,,Thossaloniki,Thossaloniki 
"CONSUL GENERAL: William L. Hamilton, Jr.","CONSUL GENERAL: William L. Hamilton, Jr.","CONSUL GENERAL: William L. Hamilton, Jr.",CONSUL GENERAL," William L. Hamilton, Jr.",,William,L.,Hamilton,Jr.,William,William Hamilton
AMBASSADOR: John O. Bell,AMBASSADOR: John O. Bell,AMBASSADOR: John O. Bell,AMBASSADOR, John O. Bell,,John,O.,Bell,,John,John Bell
DEPUTY CHIEF OF MISSION: Viron P. Vaky,DEPUTY CHIEF OF MISSION: Viron P. Vaky,DEPUTY CHIEF OF MISSION: Viron P. Vaky,DEPUTY CHIEF OF MISSION, Viron P. Vaky,,Viron,P.,Vaky,,Viron,Viron Vaky
POLITICAL SECTION: John T. Dreyfuss,POLITICAL SECTION: John T. Dreyfuss,POLITICAL SECTION: John T. Dreyfuss,POLITICAL SECTION, John T. Dreyfuss,,John,T.,Dreyfuss,,John,John Dreyfuss
ECONOMIC SECTION: James C. Lobenstine,ECONOMIC SECTION: James C. Lobenstine,ECONOMIC SECTION: James C. Lobenstine,ECONOMIC SECTION, James C. Lobenstine,,James,C.,Lobenstine,,James,James Lobenstine
AGRICULTURAL ATTACHE: Dalton L. Wilson,AGRICULTURAL ATTACHE: Dalton L. Wilson,AGRICULTURAL ATTACHE: Dalton L. Wilson,AGRICULTURAL ATTACHE, Dalton L. Wilson,,Dalton,L.,Wilson,,Dalton,Dalton Wilson
AID MISSION DIRECTOR: Marvin Weissman,AID MISSION DIRECTOR: Marvin Weissman,AID MISSION DIRECTOR: Marvin Weissman,AID MISSION DIRECTOR, Marvin Weissman,,Marvin,,Weissman,,Marvin,Marvin Weissman
AMBASSADOR: James I. Loeb,AMBASSADOR: James I. Loeb,AMBASSADOR: James I. Loeb,AMBASSADOR, James I. Loeb,,James,I.,Loeb,,James,James Loeb
DEPUTY CHIEF OF MISSION: Pierre R. Graham,DEPUTY CHIEF OF MISSION: Pierre R. Graham,DEPUTY CHIEF OF MISSION: Pierre R. Graham,DEPUTY CHIEF OF MISSION, Pierre R. Graham,,Pierre,R.,Graham,,Pierre,Pierre Graham
POLITICAL SECTION: J. Daniel Loubert,POLITICAL SECTION: J. Daniel Loubert,POLITICAL SECTION: J. Daniel Loubert,POLITICAL SECTION, J. Daniel Loubert,,J.,Daniel,Loubert,,Daniel,Daniel Loubert
ECONOMIC SECTION: Alfred J. Erdos,ECONOMIC SECTION: Alfred J. Erdos,ECONOMIC SECTION: Alfred J. Erdos,ECONOMIC SECTION, Alfred J. Erdos,,Alfred,J.,Erdos,,Alfred,Alfred Erdos
AID MISSION DIRECTOR: Curtis Campaigne,AID MISSION DIRECTOR: Curtis Campaigne,AID MISSION DIRECTOR: Curtis Campaigne,AID MISSION DIRECTOR, Curtis Campaigne,,Curtis,,Campaigne,,Curtis,Curtis Campaigne
AMBASSADOR: Benson E. L. Timmons II,AMBASSADOR: Benson E. L. Timmons II,AMBASSADOR: Benson E. L. Timmons II,AMBASSADOR, Benson E. L. Timmons II,,Benson,E. L.,Timmons,II,Benson,Benson Timmons
"DEPUTY CHIEF OF MISSION: Glion Curtis, Jr.","DEPUTY CHIEF OF MISSION: Glion Curtis, Jr.","DEPUTY CHIEF OF MISSION: Glion Curtis, Jr.",DEPUTY CHIEF OF MISSION," Glion Curtis, Jr.",,Glion,,Curtis,Jr.,Glion,Glion Curtis
POLITICAL SECTION: Norman E. Warner,POLITICAL SECTION: Norman E. Warner,POLITICAL SECTION: Norman E. Warner,POLITICAL SECTION, Norman E. Warner,,Norman,E.,Warner,,Norman,Norman Warner
COMMERCIAL SECTION: Valentin E. Blacque,COMMERCIAL SECTION: Valentin E. Blacque,COMMERCIAL SECTION: Valentin E. Blacque,COMMERCIAL SECTION, Valentin E. Blacque,,Valentin,E.,Blacque,,Valentin,Valentin Blacque
AMBASSADOR: Charles R. Burrows,AMBASSADOR: Charles R. Burrows,AMBASSADOR: Charles R. Burrows,AMBASSADOR, Charles R. Burrows,,Charles,R.,Burrows,,Charles,Charles Burrows
DEPUTY CHIEF OF MISSION: John W. Fisher,DEPUTY CHIEF OF MISSION: John W. Fisher,DEPUTY CHIEF OF MISSION: John W. Fisher,DEPUTY CHIEF OF MISSION, John W. Fisher,,John,W.,Fisher,,John,John Fisher
POLITICAL SECTION: Edwin D. Ledbetter,POLITICAL SECTION: Edwin D. Ledbetter,POLITICAL SECTION: Edwin D. Ledbetter,POLITICAL SECTION, Edwin D. Ledbetter,,Edwin,D.,Ledbetter,,Edwin,Edwin Ledbetter
ECONOMIC SECTION: Richard A. Godfrey,ECONOMIC SECTION: Richard A. Godfrey,ECONOMIC SECTION: Richard A. Godfrey,ECONOMIC SECTION, Richard A. Godfrey,,Richard,A.,Godfrey,,Richard,Richard Godfrey
COMMERCIAL SECTION: Anthony Winkler-Prins,COMMERCIAL SECTION: Anthony Winkler-Prins,COMMERCIAL SECTION: Anthony Winkler-Prins,COMMERCIAL SECTION, Anthony Winkler-Prins,,Anthony,,Winkler-Prins,,Anthony,Anthony Winkler-Prins
AID MISSION DIRECTOR: Newell F. Williams,AID MISSION DIRECTOR: Newell F. Williams,AID MISSION DIRECTOR: Newell F. Williams,AID MISSION DIRECTOR, Newell F. Williams,,Newell,F.,Williams,,Newell,Newell Williams
CONSUL GENERAL: Edward E. Rice,CONSUL GENERAL: Edward E. Rice,CONSUL GENERAL: Edward E. Rice,CONSUL GENERAL, Edward E. Rice,,Edward,E.,Rice,,Edward,Edward Rice
DEPUTY PRINCIPAL OFFICER: Oscar V. Armstrong,DEPUTY PRINCIPAL OFFICER: Oscar V. Armstrong,DEPUTY PRINCIPAL OFFICER: Oscar V. Armstrong,DEPUTY PRINCIPAL OFFICER, Oscar V. Armstrong,,Oscar,V.,Armstrong,,Oscar,Oscar Armstrong
ECONOMIC SECTION: Lynn H. Olson,ECONOMIC SECTION: Lynn H. Olson,ECONOMIC SECTION: Lynn H. Olson,ECONOMIC SECTION, Lynn H. Olson,,Lynn,H.,Olson,,Lynn,Lynn Olson
COMMERCIAL SECTION: Walter W. Sohl,COMMERCIAL SECTION: Walter W. Sohl,COMMERCIAL SECTION: Walter W. Sohl,COMMERCIAL SECTION, Walter W. Sohl,,Walter,W.,Sohl,,Walter,Walter Sohl
AGRICULTURAL OFFICER: John Reinhold Wenmohs,AGRICULTURAL OFFICER: John Reinhold Wenmohs,AGRICULTURAL OFFICER: John Reinhold Wenmohs,AGRICULTURAL OFFICER, John Reinhold Wenmohs,,John,Reinhold,Wenmohs,,John,John Wenmohs
LEGATION: Budapest,LEGATION: Budapest,LEGATION: Budapest,LEGATION, Budapest,,Budapest,,,,Budapest,Budapest 
DEPUTY CHIEF OF MISSION: Elim O'Shaughnessy,DEPUTY CHIEF OF MISSION: Elim O'Shaughnessy,DEPUTY CHIEF OF MISSION: Elim O'Shaughnessy,DEPUTY CHIEF OF MISSION, Elim O'Shaughnessy,,Elim,,O'Shaughnessy,,Elim,Elim O'Shaughnessy
POLITICAL SECTION: Richard W. Tims,POLITICAL SECTION: Richard W. Tims,POLITICAL SECTION: Richard W. Tims,POLITICAL SECTION, Richard W. Tims,,Richard,W.,Tims,,Richard,Richard Tims
ECONOMIC SECTION: Leopold Gotzlinger,ECONOMIC SECTION: Leopold Gotzlinger,ECONOMIC SECTION: Leopold Gotzlinger,ECONOMIC SECTION, Leopold Gotzlinger,,Leopold,,Gotzlinger,,Leopold,Leopold Gotzlinger
AMBASSADOR: James K. Penfield,AMBASSADOR: James K. Penfield,AMBASSADOR: James K. Penfield,AMBASSADOR, James K. Penfield,,James,K.,Penfield,,James,James Penfield
DEPUTY CHIEF OF MISSION: Valdemar N. L.,DEPUTY CHIEF OF MISSION: Valdemar N. L.,DEPUTY CHIEF OF MISSION: Valdemar N. L. Johnson,DEPUTY CHIEF OF MISSION, Valdemar N. L. Johnson,,Valdemar,N. L.,Johnson,,Valdemar,Valdemar Johnson
POLITICAL SECTION: John C. Brooks,POLITICAL SECTION: John C. Brooks,POLITICAL SECTION: John C. Brooks,POLITICAL SECTION, John C. Brooks,,John,C.,Brooks,,John,John Brooks
ECONOMIC SECTION: Geraldine B. Stibbe,ECONOMIC SECTION: Geraldine B. Stibbe,ECONOMIC SECTION: Geraldine B. Stibbe,ECONOMIC SECTION, Geraldine B. Stibbe,,Geraldine,B.,Stibbe,,Geraldine,Geraldine Stibbe
AMBASSADOR: Chester Bowles,AMBASSADOR: Chester Bowles,AMBASSADOR: Chester Bowles,AMBASSADOR, Chester Bowles,,Chester,,Bowles,,Chester,Chester Bowles
"DEPUTY CHIEF OF MISSION: Joseph N. Green, Jr.","DEPUTY CHIEF OF MISSION: Joseph N. Green, Jr.","DEPUTY CHIEF OF MISSION: Joseph N. Green, Jr.",DEPUTY CHIEF OF MISSION," Joseph N. Green, Jr.",,Joseph,N.,Green,Jr.,Joseph,Joseph Green
POLITICAL SECTION: L. Douglas Heck,POLITICAL SECTION: L. Douglas Heck,POLITICAL SECTION: L. Douglas Heck,POLITICAL SECTION, L. Douglas Heck,,L.,Douglas,Heck,,Douglas,Douglas Heck
ECONOMIC SECTION: Leonard Weiss,ECONOMIC SECTION: Leonard Weiss,ECONOMIC SECTION: Leonard Weiss,ECONOMIC SECTION, Leonard Weiss,,Leonard,,Weiss,,Leonard,Leonard Weiss
COMMERCIAL SECTION: James S. Lanigan,COMMERCIAL SECTION: James S. Lanigan,COMMERCIAL SECTION: James S. Lanigan,COMMERCIAL SECTION, James S. Lanigan,,James,S.,Lanigan,,James,James Lanigan
AGRICULTURAL ATTACHE: John H. Boulware,AGRICULTURAL ATTACHE: John H. Boulware,AGRICULTURAL ATTACHE: John H. Boulware,AGRICULTURAL ATTACHE, John H. Boulware,,John,H.,Boulware,,John,John Boulware
AID MISSION DIRECTOR: John P. Lewis,AID MISSION DIRECTOR: John P. Lewis,AID MISSION DIRECTOR: John P. Lewis,AID MISSION DIRECTOR, John P. Lewis,,John,P.,Lewis,,John,John Lewis
CONSULATE GENERAL: Bombay,CONSULATE GENERAL: Bombay,CONSULATE GENERAL: Bombay,CONSULATE GENERAL, Bombay,,Bombay,,,,Bombay,Bombay 
CONSUL GENERAL: Milton C. Rewinkel,CONSUL GENERAL: Milton C. Rewinkel,CONSUL GENERAL: Milton C. Rewinkel,CONSUL GENERAL, Milton C. Rewinkel,,Milton,C.,Rewinkel,,Milton,Milton Rewinkel
ECONOMIC SECTION: Jack C. Miklos,ECONOMIC SECTION: Jack C. Miklos,ECONOMIC SECTION: Jack C. Miklos,ECONOMIC SECTION, Jack C. Miklos,,Jack,C.,Miklos,,Jack,Jack Miklos
COMMERCIAL SECTION: William J. Drew,COMMERCIAL SECTION: William J. Drew,COMMERCIAL SECTION: William J. Drew,COMMERCIAL SECTION, William J. Drew,,William,J.,Drew,,William,William Drew
AGRICULTURAL OFFICER: Robert B. Evans,AGRICULTURAL OFFICER: Robert B. Evans,AGRICULTURAL OFFICER: Robert B. Evans,AGRICULTURAL OFFICER, Robert B. Evans,,Robert,B.,Evans,,Robert,Robert Evans
CONSULATE GENERAL: Calcutta,CONSULATE GENERAL: Calcutta,CONSULATE GENERAL: Calcutta,CONSULATE GENERAL, Calcutta,,Calcutta,,,,Calcutta,Calcutta 
CONSUL GENERAL: William K. Hitchcock,CONSUL GENERAL: William K. Hitchcock,CONSUL GENERAL: William K. Hitchcock,CONSUL GENERAL, William K. Hitchcock,,William,K.,Hitchcock,,William,William Hitchcock
"ECONOMIC SECTION: Alfred L. Atherton, Jr.","ECONOMIC SECTION: Alfred L. Atherton, Jr.","ECONOMIC SECTION: Alfred L. Atherton, Jr.",ECONOMIC SECTION," Alfred L. Atherton, Jr.",,Alfred,L.,Atherton,Jr.,Alfred,Alfred Atherton
COMMERCIAL SECTION: Joseph C. Wilson,COMMERCIAL SECTION: Joseph C. Wilson,COMMERCIAL SECTION: Joseph C. Wilson,COMMERCIAL SECTION, Joseph C. Wilson,,Joseph,C.,Wilson,,Joseph,Joseph Wilson
CONSULATE GENERAL: Madras,CONSULATE GENERAL: Madras,CONSULATE GENERAL: Madras,CONSULATE GENERAL, Madras,,Madras,,,,Madras,Madras 
CONSUL GENERAL: Albert B. Franklin,CONSUL GENERAL: Albert B. Franklin,CONSUL GENERAL: Albert B. Franklin,CONSUL GENERAL, Albert B. Franklin,,Albert,B.,Franklin,,Albert,Albert Franklin
ECONOMIC SECTION: William C. Nenno,ECONOMIC SECTION: William C. Nenno,ECONOMIC SECTION: William C. Nenno,ECONOMIC SECTION, William C. Nenno,,William,C.,Nenno,,William,William Nenno
COMMERCIAL SECTION: Richard N. Viets,COMMERCIAL SECTION: Richard N. Viets,COMMERCIAL SECTION: Richard N. Viets,COMMERCIAL SECTION, Richard N. Viets,,Richard,N.,Viets,,Richard,Richard Viets
AMBASSADOR: Howard P. Jones,AMBASSADOR: Howard P. Jones,AMBASSADOR: Howard P. Jones,AMBASSADOR, Howard P. Jones,,Howard,P.,Jones,,Howard,Howard Jones
DEPUTY CHIEF OF MISSION: Francis J. Galbraith,DEPUTY CHIEF OF MISSION: Francis J. Galbraith,DEPUTY CHIEF OF MISSION: Francis J. Galbraith,DEPUTY CHIEF OF MISSION, Francis J. Galbraith,,Francis,J.,Galbraith,,Francis,Francis Galbraith
POLITICAL SECTION: Edward C. Masters,POLITICAL SECTION: Edward C. Masters,POLITICAL SECTION: Edward C. Masters,POLITICAL SECTION, Edward C. Masters,,Edward,C.,Masters,,Edward,Edward Masters
ECONOMIC SECTION: Perry Ellis,ECONOMIC SECTION: Perry Ellis,ECONOMIC SECTION: Perry Ellis,ECONOMIC SECTION, Perry Ellis,,Perry,,Ellis,,Perry,Perry Ellis
COMMERCIAL SECTION: Paul D. McCusker,COMMERCIAL SECTION: Paul D. McCusker,COMMERCIAL SECTION: Paul D. McCusker,COMMERCIAL SECTION, Paul D. McCusker,,Paul,D.,McCusker,,Paul,Paul McCusker
AGRICULTURAL ATTACHE: Carl 0. Winberg,AGRICULTURAL ATTACHE: Carl 0. Winberg,AGRICULTURAL ATTACHE: Carl 0. Winberg,AGRICULTURAL ATTACHE, Carl 0. Winberg,,Carl,0.,Winberg,,Carl,Carl Winberg
AID MISSION DIRECTOR: J. Howard Edwards,AID MISSION DIRECTOR: J. Howard Edwards,AID MISSION DIRECTOR: J. Howard Edwards,AID MISSION DIRECTOR, J. Howard Edwards,,J.,Howard,Edwards,,Howard,Howard Edwards
AMBASSADOR: Julius C. Holmes,AMBASSADOR: Julius C. Holmes,AMBASSADOR: Julius C. Holmes,AMBASSADOR, Julius C. Holmes,,Julius,C.,Holmes,,Julius,Julius Holmes
DEPUTY CHIEF OF MISSION: Stuart W. Rockwell,DEPUTY CHIEF OF MISSION: Stuart W. Rockwell,DEPUTY CHIEF OF MISSION: Stuart W. Rockwell,DEPUTY CHIEF OF MISSION, Stuart W. Rockwell,,Stuart,W.,Rockwell,,Stuart,Stuart Rockwell
POLITICAL SECTION: Martin F. Herz,POLITICAL SECTION: Martin F. Herz,POLITICAL SECTION: Martin F. Herz,POLITICAL SECTION, Martin F. Herz,,Martin,F.,Herz,,Martin,Martin Herz
ECONOMIC SECTION: James W. Swihart,ECONOMIC SECTION: James W. Swihart,ECONOMIC SECTION: James W. Swihart,ECONOMIC SECTION, James W. Swihart,,James,W.,Swihart,,James,James Swihart
COMMERICAL SECTION: John K. Hagemann,COMMERICAL SECTION: John K. Hagemann,COMMERICAL SECTION: John K. Hagemann,COMMERICAL SECTION, John K. Hagemann,,John,K.,Hagemann,,John,John Hagemann
AGRICULTURAL ATTACHE: Tilmer O. Engerbretson,AGRICULTURAL ATTACHE: Tilmer O. Engerbretson,AGRICULTURAL ATTACHE: Tilmer O. Engerbretson,AGRICULTURAL ATTACHE, Tilmer O. Engerbretson,,Tilmer,O.,Engerbretson,,Tilmer,Tilmer Engerbretson
AID MISSION DIRECTOR: Howard L. Parsons,AID MISSION DIRECTOR: Howard L. Parsons,AID MISSION DIRECTOR: Howard L. Parsons,AID MISSION DIRECTOR, Howard L. Parsons,,Howard,L.,Parsons,,Howard,Howard Parsons
AMBASSADOR: Robert C. Strong,AMBASSADOR: Robert C. Strong,AMBASSADOR: Robert C. Strong,AMBASSADOR, Robert C. Strong,,Robert,C.,Strong,,Robert,Robert Strong
"DEPUTY CHIEF OF MISSION: J. Wesley Adams, Jr.","DEPUTY CHIEF OF MISSION: J. Wesley Adams, Jr.","DEPUTY CHIEF OF MISSION: J. Wesley Adams, Jr.",DEPUTY CHIEF OF MISSION," J. Wesley Adams, Jr.",,J.,Wesley,Adams,Jr.,Wesley,Wesley Adams
POLITICAL SECTION: James E. Akins,POLITICAL SECTION: James E. Akins,POLITICAL SECTION: James E. Akins,POLITICAL SECTION, James E. Akins,,James,E.,Akins,,James,James Akins
ECONOMIC SECTION: Rupert Prohme,ECONOMIC SECTION: Rupert Prohme,ECONOMIC SECTION: Rupert Prohme,ECONOMIC SECTION, Rupert Prohme,,Rupert,,Prohme,,Rupert,Rupert Prohme
COMMERCIAL SECTION: Joe Lill,COMMERCIAL SECTION: Joe Lill,COMMERCIAL SECTION: Joe Lill,COMMERCIAL SECTION, Joe Lill,,Joe,,Lill,,Joe,Joe Lill
DEPUTY CHIEF OF MISSION: Robert P. Chalker,DEPUTY CHIEF OF MISSION: Robert P. Chalker,DEPUTY CHIEF OF MISSION: Robert P. Chalker,DEPUTY CHIEF OF MISSION, Robert P. Chalker,,Robert,P.,Chalker,,Robert,Robert Chalker
POLITICAL SECTION: Irving G. Cheslaw,POLITICAL SECTION: Irving G. Cheslaw,POLITICAL SECTION: Irving G. Cheslaw,POLITICAL SECTION, Irving G. Cheslaw,,Irving,G.,Cheslaw,,Irving,Irving Cheslaw
ECONOMIC SECTION: Edward R. O'Connor,ECONOMIC SECTION: Edward R. O'Connor,ECONOMIC SECTION: Edward R. O'Connor,ECONOMIC SECTION, Edward R. O'Connor,,Edward,R.,O'Connor,,Edward,Edward O'Connor
AGRICULTURAL ATTACHE: Charalambos S.,AGRICULTURAL ATTACHE: Charalambos S.,AGRICULTURAL ATTACHE: Charalambos S. Stephanides,AGRICULTURAL ATTACHE, Charalambos S. Stephanides,,Charalambos,S.,Stephanides,,Charalambos,Charalambos Stephanides
AMBASSADOR: Walworth Barbour,AMBASSADOR: Walworth Barbour,AMBASSADOR: Walworth Barbour,AMBASSADOR, Walworth Barbour,,Walworth,,Barbour,,Walworth,Walworth Barbour
DEPUTY CHIEF OF MISSION: William N. Dale,DEPUTY CHIEF OF MISSION: William N. Dale,DEPUTY CHIEF OF MISSION: William N. Dale,DEPUTY CHIEF OF MISSION, William N. Dale,,William,N.,Dale,,William,William Dale
"POLITICAL SECTION: Stephen E. Palmer, Jr.","POLITICAL SECTION: Stephen E. Palmer, Jr.","POLITICAL SECTION: Stephen E. Palmer, Jr.",POLITICAL SECTION," Stephen E. Palmer, Jr.",,Stephen,E.,Palmer,Jr.,Stephen,Stephen Palmer
ECONOMIC SECTION: William M. Kerrigan,ECONOMIC SECTION: William M. Kerrigan,ECONOMIC SECTION: William M. Kerrigan,ECONOMIC SECTION, William M. Kerrigan,,William,M.,Kerrigan,,William,William Kerrigan
AGRICULTURAL ATTACHE: Voldrus H. Hougen,AGRICULTURAL ATTACHE: Voldrus H. Hougen,AGRICULTURAL ATTACHE: Voldrus H. Hougen,AGRICULTURAL ATTACHE, Voldrus H. Hougen,,Voldrus,H.,Hougen,,Voldrus,Voldrus Hougen
AMBASSADOR: G. Frederick Reinhardt,AMBASSADOR: G. Frederick Reinhardt,AMBASSADOR: G. Frederick Reinhardt,AMBASSADOR, G. Frederick Reinhardt,,G.,Frederick,Reinhardt,,Frederick,Frederick Reinhardt
"DEPUTY CHIEF OF MISSION: Francis E. Meloy, Jr.","DEPUTY CHIEF OF MISSION: Francis E. Meloy, Jr.","DEPUTY CHIEF OF MISSION: Francis E. Meloy, Jr.",DEPUTY CHIEF OF MISSION," Francis E. Meloy, Jr.",,Francis,E.,Meloy,Jr.,Francis,Francis Meloy
POLITICAL SECTION: William N. Fraleigh,POLITICAL SECTION: William N. Fraleigh,POLITICAL SECTION: William N. Fraleigh,POLITICAL SECTION, William N. Fraleigh,,William,N.,Fraleigh,,William,William Fraleigh
ECONOMIC SECTION: Sydney L. W. Mellen,ECONOMIC SECTION: Sydney L. W. Mellen,ECONOMIC SECTION: Sydney L. W. Mellen,ECONOMIC SECTION, Sydney L. W. Mellen,,Sydney,L. W.,Mellen,,Sydney,Sydney Mellen
COMMERCIAL SECTION: Theodore J. Hadraba,COMMERCIAL SECTION: Theodore J. Hadraba,COMMERCIAL SECTION: Theodore J. Hadraba,COMMERCIAL SECTION, Theodore J. Hadraba,,Theodore,J.,Hadraba,,Theodore,Theodore Hadraba
AGRICULTURAL ATTACHE: Robert C. Tetro,AGRICULTURAL ATTACHE: Robert C. Tetro,AGRICULTURAL ATTACHE: Robert C. Tetro,AGRICULTURAL ATTACHE, Robert C. Tetro,,Robert,C.,Tetro,,Robert,Robert Tetro
CONSULATE GENERAL: Genoa,CONSULATE GENERAL: Genoa,CONSULATE GENERAL: Genoa,CONSULATE GENERAL, Genoa,,Genoa,,,,Genoa,Genoa 
CONSUL GENERAL: Millan L. Egert,CONSUL GENERAL: Millan L. Egert,CONSUL GENERAL: Millan L. Egert,CONSUL GENERAL, Millan L. Egert,,Millan,L.,Egert,,Millan,Millan Egert
ECONOMIC SECTION: Charles H. Pletcher,ECONOMIC SECTION: Charles H. Pletcher,ECONOMIC SECTION: Charles H. Pletcher,ECONOMIC SECTION, Charles H. Pletcher,,Charles,H.,Pletcher,,Charles,Charles Pletcher
CONSULATE GENERAL: Milan,CONSULATE GENERAL: Milan,CONSULATE GENERAL: Milan,CONSULATE GENERAL, Milan,,Milan,,,,Milan,Milan 
CONSUL GENERAL: Earl T. Crain,CONSUL GENERAL: Earl T. Crain,CONSUL GENERAL: Earl T. Crain,CONSUL GENERAL, Earl T. Crain,,Earl,T.,Crain,,Earl,Earl Crain
"ECONOMIC SECTION: C. Melvin Sonne, Jr.","ECONOMIC SECTION: C. Melvin Sonne, Jr.","ECONOMIC SECTION: C. Melvin Sonne, Jr.",ECONOMIC SECTION," C. Melvin Sonne, Jr.",,C.,Melvin,Sonne,Jr.,Melvin,Melvin Sonne
COMMERCIAL SECTION: Amaldo Berenguer,COMMERCIAL SECTION: Amaldo Berenguer,COMMERCIAL SECTION: Amaldo Berenguer,COMMERCIAL SECTION, Amaldo Berenguer,,Amaldo,,Berenguer,,Amaldo,Amaldo Berenguer
US TRADE CENTER: Martin Stahl,US TRADE CENTER: Martin Stahl,US TRADE CENTER: Martin Stahl,US TRADE CENTER, Martin Stahl,,Martin,,Stahl,,Martin,Martin Stahl
CONSULATE GENERAL: Naples,CONSULATE GENERAL: Naples,CONSULATE GENERAL: Naples,CONSULATE GENERAL, Naples,,Naples,,,,Naples,Naples 
