text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
DEPUTY CHIEF OF MISSION: Robert A. Hurwitch,DEPUTY CHIEF OF MISSION: Robert A. Hurwitch,DEPUTY CHIEF OF MISSION: Robert A. Hurwitch,DEPUTY CHIEF OF MISSION, Robert A. Hurwitch,,Robert,A.,Hurwitch,,Robert,Robert Hurwitch
ECONOMIC SECTION: William D. Broderick,ECONOMIC SECTION: William D. Broderick,ECONOMIC SECTION: William D. Broderick,ECONOMIC SECTION, William D. Broderick,,William,D.,Broderick,,William,William Broderick
COMMERCIAL SECTION: William G. Gibson,COMMERCIAL SECTION: William G. Gibson,COMMERCIAL SECTION: William G. Gibson,COMMERCIAL SECTION, William G. Gibson,,William,G.,Gibson,,William,William Gibson
AID MISSION DIRECTOR: Alexander Firfer,AID MISSION DIRECTOR: Alexander Firfer,AID MISSION DIRECTOR: Alexander Firfer,AID MISSION DIRECTOR, Alexander Firfer,,Alexander,,Firfer,,Alexander,Alexander Firfer
AMBASSADOR: Lincoln Gordon,AMBASSADOR: Lincoln Gordon,AMBASSADOR: Lincoln Gordon,AMBASSADOR, Lincoln Gordon,,Lincoln,,Gordon,,Lincoln,Lincoln Gordon
DEPUTY CHIEF OF MISSION: John G. Mein,DEPUTY CHIEF OF MISSION: John G. Mein,DEPUTY CHIEF OF MISSION: John G. Mein,DEPUTY CHIEF OF MISSION, John G. Mein,,John,G.,Mein,,John,John Mein
POLITICAL SECTION: John Keppel,POLITICAL SECTION: John Keppel,POLITICAL SECTION: John Keppel,POLITICAL SECTION, John Keppel,,John,,Keppel,,John,John Keppel
ECONOMIC SECTICN: Robert B. Elwood,ECONOMIC SECTICN: Robert B. Elwood,ECONOMIC SECTICN: Robert B. Elwood,ECONOMIC SECTICN, Robert B. Elwood,,Robert,B.,Elwood,,Robert,Robert Elwood
COMMERCIAL SECTION: Edward J. Bash,COMMERCIAL SECTION: Edward J. Bash,COMMERCIAL SECTION: Edward J. Bash,COMMERCIAL SECTION, Edward J. Bash,,Edward,J.,Bash,,Edward,Edward Bash
AGRICULTURAL ATTACHE: Jerome M. Kuhl,AGRICULTURAL ATTACHE: Jerome M. Kuhl,AGRICULTURAL ATTACHE: Jerome M. Kuhl,AGRICULTURAL ATTACHE, Jerome M. Kuhl,,Jerome,M.,Kuhl,,Jerome,Jerome Kuhl
AID MISSION DIRECTOR: Stuart H. Van Dyke,AID MISSION DIRECTOR: Stuart H. Van Dyke,AID MISSION DIRECTOR: Stuart H. Van Dyke,AID MISSION DIRECTOR, Stuart H. Van Dyke,,Stuart,H.,Van Dyke,,Stuart,Stuart Van Dyke
