year,rank,name,first_clean,middle,last,firstlast
1965,POLITICAL SECTION, Monteagle Stearns,Monteagle,,Stearns,Monteagle Stearns
1965,ECONOMIC SECTION, Stuart T. Baron,Stuart,T.,Baron,Stuart Baron
1965,COMMERCIAL SECTION, Martin Jacobs,Martin,,Jacobs,Martin Jacobs
1965,AGRICULTURAL ATTACHE, Paul J. Ferree,Paul,J.,Ferree,Paul Ferree
1965,DEPUTY CHIEF OF MISSION, Philip Raine,Philip,,Raine,Philip Raine
1965,POLITICAL SECTION, Cabot Sedgwick,Cabot,,Sedgwick,Cabot Sedgwick
1965,ECONOMIC SECTION," Melville E. Blake, Jr.",Melville,E.,Blake,Melville Blake
1965,COMMERCIAL SECTION," James Maish, Jr.",James,,Maish,James Maish
1965,AGRICULTURAL ATTACHE, Marshal D. Fox,Marshal,D.,Fox,Marshal Fox
1965,AID MISSION DIRECTOR, Albert E. Farwell,Albert,E.,Farwell,Albert Farwell
1965,AMBASSADOR, Taylor G. Belcher,Taylor,G.,Belcher,Taylor Belcher
1965,DEPUTY CHIEF OFMISSION,    Charles T. Cross,Charles,T.,Cross,Charles Cross
1965,POLITICAL SECTION, Robert R. Schott,Robert,R.,Schott,Robert Schott
1965,ECONOMIC SECTION," Barrington King, Jr.",Barrington,,King,Barrington King
1965,AID REPRESENTATIVE, Frederick H. Sligh,Frederick,H.,Sligh,Frederick Sligh
1965,AMBASSADOR, Outerbridge Horsey,Outerbridge,,Horsey,Outerbridge Horsey
1965,DEPUTY CHIEF OF MISSION, Byron E. Blankinship,Byron,E.,Blankinship,Byron Blankinship
1965,POLITICAL SECTION, Edward W. Burgess,Edward,W.,Burgess,Edward Burgess
1965,ECONOMIC SECTION, Warren E. Slater,Warren,E.,Slater,Warren Slater
1965,AMBASSADOR, Clinton E. Knox,Clinton,E.,Knox,Clinton Knox
1965,DEPUTY CHIEF OF MISSION," Harland H. Eastman,",Harland,H.,Eastman,Harland Eastman
1965,AMBASSADOR, Mrs. Katharine E. White,Katharine,E.,White,Katharine White
1965,DEPUTY CHIEF OF MISSION, Stanley S. Carpenter,Stanley,S.,Carpenter,Stanley Carpenter
1965,POLITICAL SECTION, Eiler R. Cook,Eiler,R.,Cook,Eiler Cook
1965,ECONOMIC SECTION, Roger C. Dixon,Roger,C.,Dixon,Roger Dixon
1965,COMMERCIAL SECTION, Marion E. Anderson,Marion,E.,Anderson,Marion Anderson
1965,AGRICULTURAL ATTACHE, Harold L. Koeller,Harold,L.,Koeller,Harold Koeller
1965,AMBASSADOR," W. Tapley Bennett, Jr.",Tapley,Tapley,Bennett,Tapley Bennett
1965,DEPUTY CHIEF OF MISSION," William B. Connett, Jr.",William,B.,Connett,William Connett
1965,POLITICAL SECTION, Benjamin J. Ruyle,Benjamin,J.,Ruyle,Benjamin Ruyle
1965,ECONOMIC SECTION, Dorothy M. Jester,Dorothy,M.,Jester,Dorothy Jester
1965,COMMERCIAL SECTION," John B. Perkey, Jr.",John,B.,Perkey,John Perkey
1965,AID MISSION DIRECTOR, W. Carter Ide,Carter,Carter,Ide,Carter Ide
